index,open,high,low,close,start time,volume,prev_close,gap,gap_up,gap_down
0,573.45,580,572,572.2,1368210600,16016715,,,FALSE,FALSE
1,578.15,580.75,571.55,574.7,1368297000,11319335,572.2,5.95,TRUE,FALSE
2,581.9,584,574.65,578.75,1368556200,11410243,574.7,7.2,TRUE,FALSE
3,586.3,590.4,582,584,1368642600,22178229,578.75,7.55,TRUE,FALSE
4,586.3,590.5,579.5,586,1368729000,23739774,584,2.3,TRUE,FALSE
5,574.2,593.9,571.4,590.3,1368815400,45656620,586,-11.8,FALSE,TRUE
6,575.15,586.25,569.9,579,1368901800,42293962,590.3,-15.15,FALSE,TRUE
7,577.15,580.3,573.45,577.5,1369161000,21484049,579,-1.85,FALSE,TRUE
8,581.6,583.7,576.8,578.9,1369247400,16120548,577.5,4.1,TRUE,FALSE
9,582.7,585.25,578.25,579.8,1369333800,17616658,578.9,3.8,TRUE,FALSE
10,581.25,582.9,577,582,1369420200,16479436,579.8,1.45,TRUE,FALSE
11,586,587.75,580.55,581.25,1369506600,9788076,582,4,TRUE,FALSE
12,595,596.4,588.05,590,1369765800,18432231,581.25,13.75,TRUE,FALSE
13,592.8,595.5,591.5,595,1369852200,15031640,590,2.8,TRUE,FALSE
14,579.85,584.8,577.5,583.8,1369938600,28797643,595,-15.15,FALSE,TRUE
15,582.75,586.4,581,581.8,1370025000,17820226,583.8,-1.05,FALSE,TRUE
16,587.2,588.9,583,584.7,1370111400,11323908,581.8,5.4,TRUE,FALSE
17,587.2,589.8,586,588.5,1370370600,12920507,584.7,2.5,TRUE,FALSE
18,585.35,588.9,583,588,1370457000,11199940,588.5,-3.15,FALSE,TRUE
19,589.2,590.6,586,588,1370543400,11113781,588,1.2,TRUE,FALSE
20,588.5,593.95,586.35,589.95,1370629800,15971917,588,0.5,TRUE,FALSE
21,578.7,589.1,576.75,588,1370716200,18870272,589.95,-11.25,FALSE,TRUE
22,578.65,581.5,577.7,580,1370975400,8786066,588,-9.35,FALSE,TRUE
23,576.4,581.4,574.25,579.45,1371061800,12612098,580,-3.6,FALSE,TRUE
24,576.55,578.55,575.25,577,1371148200,8948696,579.45,-2.9,FALSE,TRUE
25,566.5,576.7,565.25,576,1371234600,17934877,577,-10.5,FALSE,TRUE
26,571.25,574.7,567.05,568.75,1371321000,12660226,576,-4.75,FALSE,TRUE
27,568.85,572.75,565.9,571.25,1371580200,17903691,568.75,0.1,TRUE,FALSE
28,567.4,569.45,562.55,568.85,1371666600,14549152,571.25,-3.85,FALSE,TRUE
29,566.35,569.5,565.65,567.4,1371753000,14946871,568.85,-2.5,FALSE,TRUE